debug,Received data: c1c135496e203035330000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '5In 053NON'
}
"
system,Status: ok - null
debug,Received data: c1c136496e203035340000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '6In 054NON'
}
"
system,Status: ok - null
debug,Received data: c1c137496e203035350000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '7In 055NON'
}
"
system,Status: ok - null
debug,Received data: c1c138496e203035360000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '8In 056NON'
}
"
system,Status: ok - null
debug,Received data: c1c139496e203035370000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '9In 057NON'
}
"
system,Status: ok - null
debug,Received data: c1c13a496e203035380000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: ':In 058NON'
}
"
system,Status: ok - null
debug,Received data: c1c13b496e203035390000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: ';In 059NON'
}
"
system,Status: ok - null
debug,Received data: c1c13c496e203036300000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '<In 060NON'
}
"
system,Status: ok - null
debug,Received data: c1c13d496e203036310000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '=In 061NON'
}
"
system,Status: ok - null
debug,Received data: c1c13e496e203036320000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '>In 062NON'
}
"
system,Status: ok - null
debug,Received data: c1c13f496e203036330000000000004e4f4e450000
console,"Parsed TSL 3.1 packet: {
  address: 65,
  tally1: 1,
  tally2: 0,
  tally3: 0,
  tally4: 0,
  brightness: 3,
  label: '?In 063NON'
}
"
system,Status: ok - null
debug,Received data: c1c140496e203036340000000000004e4f4e450000
